ticket_id,overall_score,quality_level,assessments,issues,suggestions,needs_manual_review,review_timestamp
TK-20260323-B951849E,0.775,Acceptable,"{'title_quality': {'score': 0.8, 'issues': ['Title format unclear'], 'suggestions': ['Start title with category (Bug:, Feature Request:, etc.)']}, 'description_quality': {'score': 0.8, 'issues': ['Missing platform/device information'], 'suggestions': ['Add platform and device details']}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.4, 'issues': ['Description too brief'], 'suggestions': ['Add more detailed problem description']}}","['Title format unclear', 'Missing platform/device information', 'Description too brief']","['Start title with category (Bug:, Feature Request:, etc.)', 'Add platform and device details', 'Add more detailed problem description']",False,2026-03-23T18:16:40.514821
TK-20260323-21E90A25,0.883,Good,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0.5666666666666667, 'issues': ['Low classification confidence: 0.67'], 'suggestions': ['Review classification manually']}, 'priority_appropriateness': {'score': 0.8, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}}",['Low classification confidence: 0.67'],['Review classification manually'],False,2026-03-23T18:16:40.514821
TK-20260323-251A57B0,0.632,Needs Improvement,"{'title_quality': {'score': 0.5, 'issues': ['Title format unclear', ""Title doesn't clearly indicate category""], 'suggestions': ['Start title with category (Bug:, Feature Request:, etc.)']}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0.23478260869565215, 'issues': ['Low classification confidence: 0.43'], 'suggestions': ['Review classification manually']}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Title format unclear', ""Title doesn't clearly indicate category"", 'Low classification confidence: 0.43']","['Start title with category (Bug:, Feature Request:, etc.)', 'Review classification manually']",True,2026-03-23T18:16:40.514821
TK-20260323-2B45C70E,0.717,Acceptable,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0.10833333333333331, 'issues': ['Low classification confidence: 0.21'], 'suggestions': ['Review classification manually']}, 'priority_appropriateness': {'score': 0.3, 'issues': ['Priority Medium may not match content'], 'suggestions': ['Review priority assignment']}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}}","['Low classification confidence: 0.21', 'Priority Medium may not match content']","['Review classification manually', 'Review priority assignment']",False,2026-03-23T18:16:40.514821
TK-20260323-45F34765,0.704,Acceptable,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': ['Missing platform/device information'], 'suggestions': ['Add platform and device details']}, 'classification_confidence': {'score': 0.24482758620689657, 'issues': ['Low classification confidence: 0.34'], 'suggestions': ['Review classification manually']}, 'priority_appropriateness': {'score': 0.3, 'issues': ['Priority Low may not match content'], 'suggestions': ['Review priority assignment']}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Missing platform/device information', 'Low classification confidence: 0.34', 'Priority Low may not match content']","['Add platform and device details', 'Review classification manually', 'Review priority assignment']",False,2026-03-23T18:16:40.514821
TK-20260323-0746C9A5,0.793,Acceptable,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0.11739130434782608, 'issues': ['Low classification confidence: 0.22'], 'suggestions': ['Review classification manually']}, 'priority_appropriateness': {'score': 0.8, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}}",['Low classification confidence: 0.22'],['Review classification manually'],False,2026-03-23T18:16:40.514821
TK-20260323-0494DB77,0.719,Acceptable,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0.17037037037037034, 'issues': ['Low classification confidence: 0.37'], 'suggestions': ['Review classification manually']}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}",['Low classification confidence: 0.37'],['Review classification manually'],False,2026-03-23T18:16:40.514821
TK-20260323-09CA871A,0.619,Needs Improvement,"{'title_quality': {'score': 0.5, 'issues': ['Title format unclear', ""Title doesn't clearly indicate category""], 'suggestions': ['Start title with category (Bug:, Feature Request:, etc.)']}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0.17037037037037034, 'issues': ['Low classification confidence: 0.37'], 'suggestions': ['Review classification manually']}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Title format unclear', ""Title doesn't clearly indicate category"", 'Low classification confidence: 0.37']","['Start title with category (Bug:, Feature Request:, etc.)', 'Review classification manually']",True,2026-03-23T18:16:40.514821
TK-20260323-C16F722B,0.695,Needs Improvement,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 0, 'issues': ['Low classification confidence: 0.00'], 'suggestions': ['Review classification manually']}, 'priority_appropriateness': {'score': 0.3, 'issues': ['Priority Medium may not match content'], 'suggestions': ['Review priority assignment']}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}}","['Low classification confidence: 0.00', 'Priority Medium may not match content']","['Review classification manually', 'Review priority assignment']",True,2026-03-23T18:16:40.514821
TK-20260323-2EBC96C1,0.785,Acceptable,"{'title_quality': {'score': 0.5, 'issues': ['Title format unclear', ""Title doesn't clearly indicate category""], 'suggestions': ['Start title with category (Bug:, Feature Request:, etc.)']}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}","['Title format unclear', ""Title doesn't clearly indicate category""]","['Start title with category (Bug:, Feature Request:, etc.)']",False,2026-03-23T18:16:40.514821
TK-20260323-57AA0985,0.885,Good,"{'title_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'description_quality': {'score': 1, 'issues': [], 'suggestions': []}, 'classification_confidence': {'score': 1, 'issues': [], 'suggestions': []}, 'priority_appropriateness': {'score': 0.5, 'issues': [], 'suggestions': []}, 'completeness': {'score': 0.9999999999999999, 'issues': [], 'suggestions': []}, 'technical_accuracy': {'score': 0.6, 'issues': [], 'suggestions': []}}",[],[],False,2026-03-23T18:16:40.514821
